DATE,HOUR,LAT,LONG,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
7252025,0,41.4954809485001,-123.76714150000001,1015.2,18.6,14.7,19.0,186,10.5,0.0,78
7252025,1,41.4954809485001,-123.76714150000001,1015.0,16.7,14.3,16.2,182,12.6,0.0,86
7252025,2,41.4954809485001,-123.76714150000001,1015.4,14.7,13.0,14.4,185,8.3,0.0,90
7252025,3,41.4954809485001,-123.76714150000001,1015.5,12.8,12.5,12.3,175,8.7,0.0,98
7252025,4,41.4954809485001,-123.76714150000001,1016.1,12.3,12.0,12.1,201,6.2,0.0,98
7252025,5,41.4954809485001,-123.76714150000001,1016.7,11.3,11.3,11.2,201,3.1,0.0,100
7252025,6,41.4954809485001,-123.76714150000001,1016.8,10.5,10.5,10.2,193,3.3,0.0,100
7252025,7,41.4954809485001,-123.76714150000001,1016.6,10.6,10.5,10.1,156,4.3,0.0,99
7252025,8,41.4954809485001,-123.76714150000001,1015.9,10.8,9.5,10.2,150,2.9,0.0,92
7252025,9,41.4954809485001,-123.76714150000001,1015.6,9.3,9.0,8.3,159,5.0,0.0,98
7252025,10,41.4954809485001,-123.76714150000001,1015.1,9.2,8.3,8.3,166,3.0,0.0,94
7252025,11,41.4954809485001,-123.76714150000001,1015.1,9.0,7.6,7.9,140,2.8,0.0,91
7252025,12,41.4954809485001,-123.76714150000001,1014.9,8.8,6.8,7.8,45,1.5,0.0,87
7252025,13,41.4954809485001,-123.76714150000001,1014.9,9.4,6.1,8.1,329,2.1,0.0,80
7252025,14,41.4954809485001,-123.76714150000001,1015.0,11.6,6.9,10.5,351,2.2,0.0,73
7252025,15,41.4954809485001,-123.76714150000001,1014.6,14.0,10.2,13.8,297,1.6,0.0,78
7252025,16,41.4954809485001,-123.76714150000001,1014.8,15.4,11.6,15.2,204,4.3,0.0,78
7252025,17,41.4954809485001,-123.76714150000001,1014.3,17.5,12.4,17.3,219,7.9,0.0,72
7252025,18,41.4954809485001,-123.76714150000001,1014.3,18.5,13.6,19.2,206,10.8,0.0,73
7252025,19,41.4954809485001,-123.76714150000001,1013.9,20.0,13.9,21.2,206,12.4,0.0,68
7252025,20,41.4954809485001,-123.76714150000001,1013.7,21.2,14.4,23.0,195,12.3,0.0,65
7252025,21,41.4954809485001,-123.76714150000001,1013.5,20.7,15.2,22.8,190,12.8,0.0,71
7252025,22,41.4954809485001,-123.76714150000001,1013.5,20.4,15.6,22.7,188,10.9,0.0,74
7252025,23,41.4954809485001,-123.76714150000001,1013.1,19.7,15.1,21.4,192,10.3,0.0,75
7252025,24,41.4954809485001,-123.76714150000001,1012.3,18.9,14.8,19.8,193,10.0,0.0,77
