DATE,HOUR,LAT,LONG,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
7252025,0,46.7921363724106,-113.885251234534,1009.7,21.6,3.3,17.7,278,17.5,0.0,30
7252025,1,46.7921363724106,-113.885251234534,1009.4,21.2,5.1,17.6,283,16.6,0.0,35
7252025,2,46.7921363724106,-113.885251234534,1009.1,20.2,4.7,16.6,285,15.6,0.0,36
7252025,3,46.7921363724106,-113.885251234534,1009.2,18.0,3.8,14.9,288,11.4,0.0,39
7252025,4,46.7921363724106,-113.885251234534,1009.4,16.0,3.4,13.1,301,9.2,0.0,43
7252025,5,46.7921363724106,-113.885251234534,1009.4,14.5,2.3,11.6,306,8.0,0.0,44
7252025,6,46.7921363724106,-113.885251234534,1008.9,14.0,0.9,11.1,281,5.9,0.0,41
7252025,7,46.7921363724106,-113.885251234534,1008.9,12.8,0.8,9.6,242,7.7,0.0,44
7252025,8,46.7921363724106,-113.885251234534,1009.3,12.4,0.5,9.0,236,9.6,0.0,44
7252025,9,46.7921363724106,-113.885251234534,1009.1,11.7,0.1,8.0,239,10.5,0.0,45
7252025,10,46.7921363724106,-113.885251234534,1009.4,11.3,-0.2,7.7,274,9.7,0.0,45
7252025,11,46.7921363724106,-113.885251234534,1008.8,10.5,-1.0,6.5,276,11.2,0.0,45
7252025,12,46.7921363724106,-113.885251234534,1009.3,10.1,-2.3,5.7,259,12.8,0.0,42
7252025,13,46.7921363724106,-113.885251234534,1009.4,11.5,-2.0,7.2,231,13.0,0.0,39
7252025,14,46.7921363724106,-113.885251234534,1009.8,13.6,0.9,9.3,228,15.5,0.0,42
7252025,15,46.7921363724106,-113.885251234534,1009.6,15.5,1.6,11.4,238,15.7,0.0,39
7252025,16,46.7921363724106,-113.885251234534,1009.5,17.7,2.0,13.6,250,15.7,0.0,35
7252025,17,46.7921363724106,-113.885251234534,1009.2,19.6,2.8,16.4,252,15.9,0.0,33
7252025,18,46.7921363724106,-113.885251234534,1008.4,20.8,4.3,18.1,260,18.6,0.0,34
7252025,19,46.7921363724106,-113.885251234534,1007.7,21.9,5.3,19.7,267,19.8,0.0,34
7252025,20,46.7921363724106,-113.885251234534,1007.1,23.2,5.1,21.0,276,20.3,0.0,31
7252025,21,46.7921363724106,-113.885251234534,1006.3,23.4,3.8,20.1,276,24.6,0.0,28
7252025,22,46.7921363724106,-113.885251234534,1005.3,23.7,2.5,19.6,270,26.3,0.0,25
7252025,23,46.7921363724106,-113.885251234534,1005.6,22.9,1.2,18.0,276,26.0,0.0,24
7252025,24,46.7921363724106,-113.885251234534,1005.1,22.3,-0.4,16.7,277,25.4,0.0,22
