DATE,HOUR,LAT,LONG,MSL PRESSURE   ,TEMPERATURE   ,DEW POINT      , TEMPERATURE   ,WIND DIRECTION ,WIND SPEED     , PRECIPITATION,RELATIVE HUMIDITY
6212016,0,40.96,-106.53,1009.8,15.8,6.1,11.3,165.1,8.9,0,52.50470144
6212016,1,40.96,-106.53,1009.5,15,6.3,11.4,167.5,8.4,0,56.03451455
6212016,2,40.96,-106.53,1008,14.1,5.6,11.4,170.2,8.5,0,56.57834188
6212016,3,40.96,-106.53,1008.6,13.6,3.5,11.2,171.6,7.3,0,50.45932894
6212016,4,40.96,-106.53,1009.4,12.9,2.1,10.9,172.9,6.9,0,47.81964077
6212016,5,40.96,-106.53,1008.6,11,5.2,10.7,176.9,7.4,0,67.42716987
6212016,6,40.96,-106.53,1008.7,11.1,4.1,11.2,174.9,6.9,0,62.02476201
6212016,7,40.96,-106.53,1009,13.9,3.4,11.7,172.5,7.6,0,49.13795417
6212016,8,40.96,-106.53,1009,15.5,4.9,11.7,176.1,10,0,49.24483667
6212016,9,40.96,-106.53,1009.2,19.8,5.6,11.7,172,8.6,0,39.4391329
6212016,10,40.96,-106.53,1008.2,22.5,6.8,11.2,173.8,8.7,0,36.31193331
6212016,11,40.96,-106.53,1007,25.9,-2,11,230.8,10.1,0,15.8287927
6212016,12,40.96,-106.53,1005.7,26.2,-1,11.1,231.1,11.2,0,16.73840588
6212016,13,40.96,-106.53,1004.3,26.8,0.3,11.1,233.2,10.9,0,17.76353499
6212016,14,40.96,-106.53,1002.9,27.5,-1,11.7,235,11.8,0,15.50955688
6212016,15,40.96,-106.53,1001.3,27.5,-2.1,12,272.8,11,0,14.30324157
6212016,16,40.96,-106.53,999.7,27.6,-0.4,12.3,268.3,11.3,0,16.11049929
6212016,17,40.96,-106.53,1000.2,27.9,-1.9,12.9,273,11.4,0,14.18170916
6212016,18,40.96,-106.53,1000,27.1,-3.2,12.8,282,12.2,0,13.49255389
6212016,19,40.96,-106.53,999.3,26.1,-1.9,12.4,277.6,10.6,0,15.75897644
6212016,20,40.96,-106.53,1001.1,24.4,-1.5,12.3,268.8,5,0,17.95411823
6212016,21,40.96,-106.53,1002.5,20,-1.1,11.4,245.1,4.5,0,24.15788146
6212016,22,40.96,-106.53,1005.3,18.4,-0.2,10,281.6,3.6,0,28.49916919
6212016,23,40.96,-106.53,1007.2,16.7,-1.5,9.9,295.2,4,0,28.84270357
6212016,24,40.96,-106.53,1005.604167,20.30416667,1.504166667,11.47083333,220.3333333,8.616666667,0,28.63740911
